CallerHand,GestureInput,ActionExecuted,Time
RightHand,ThrowGust_V2,,14:10:38.456768
RightHand,ThrowFire_V2,,14:10:38.456834
RightHand,ThrowEarthPrison_V2,,14:10:38.456848
LeftHand,ActivateFire_V2,,14:10:42.100364
RightHand,ActivateFire_V2,,14:10:42.133692
LeftHand,Shield_V1,ActivateShield_V1,14:10:42.880599
LeftHand,ThrowActivationEarthPrison_V2,,14:10:42.881012
RightHand,Aim_V1,,14:10:43.272198
RightHand,Lightning_V1,,14:10:44.452276
RightHand,Aim_V1,,14:10:44.878181
RightHand,Aim_V1,,14:10:46.397679
LeftHand,Shield_V1,ActivateShield_V1,14:10:47.612107
RightHand,Aim_V1,,14:10:51.320718
RightHand,Lightning_V1,,14:10:52.136567
RightHand,,ShootLightning_V1,14:10:52.245933
RightHand,Aim_V1,,14:10:52.693283
RightHand,Lightning_V1,,14:10:52.889496
RightHand,,ShootLightning_V1,14:10:53.013797
RightHand,Aim_V1,,14:10:53.226984
RightHand,Lightning_V1,,14:10:53.412410
RightHand,,ShootLightning_V1,14:10:53.427573
RightHand,Aim_V1,,14:10:53.673793
RightHand,Lightning_V1,,14:10:53.806331
RightHand,Lightning_V1,,14:10:54.059538
RightHand,,ShootLightning_V1,14:10:54.172985
RightHand,Lightning_V1,,14:10:54.558308
RightHand,Aim_V1,,14:10:54.852640
RightHand,Lightning_V1,,14:10:55.032135
RightHand,,ShootLightning_V1,14:10:55.142770
RightHand,Lightning_V1,,14:10:55.533902
RightHand,Aim_V1,,14:10:55.972869
RightHand,Gust_V1,,14:10:56.546566
RightHand,,ShootGust_V1,14:10:56.672603
RightHand,Aim_V1,,14:10:56.859695
RightHand,Gust_V1,,14:10:57.234408
RightHand,,ShootGust_V1,14:10:57.355775
RightHand,Aim_V1,,14:10:57.558109
RightHand,Gust_V1,,14:10:57.838260
RightHand,,ShootGust_V1,14:10:57.963711
RightHand,Aim_V1,,14:10:58.217284
RightHand,Gust_V1,,14:10:58.491387
RightHand,,ShootGust_V1,14:10:58.617595
RightHand,Aim_V1,,14:10:58.935336
RightHand,Gust_V1,,14:10:59.293592
RightHand,Aim_V1,,14:10:59.568691
RightHand,Fire_V1,,14:11:00.226494
RightHand,AimLightning_V2,,14:11:00.228039
RightHand,Aim_V1,,14:11:00.421036
RightHand,Fire_V1,,14:11:00.767390
RightHand,AimLightning_V2,,14:11:00.768627
RightHand,,ShootFire_V1,14:11:00.877652
RightHand,Aim_V1,,14:11:01.103000
RightHand,Aim_V1,,14:11:01.436770
RightHand,Fire_V1,,14:11:01.603414
RightHand,AimLightning_V2,,14:11:01.604521
RightHand,,ShootFire_V1,14:11:01.714757
RightHand,Fire_V1,,14:11:01.964644
