CallerHand,GestureInput,ActionExecuted,Time
LeftHand,ActivateFire_V2,,15:40:50.350525
LeftHand,ThrowEarthPrison_V2,,15:40:50.960983
LeftHand,ThrowFire_V2,,15:40:50.961045
LeftHand,ThrowGust_V2,,15:40:50.961055
LeftHand,,ShootFire_V2,15:40:51.463326
LeftHand,ActivateFire_V2,,15:40:52.521034
RightHand,ActivateFire_V2,,15:40:56.513217
LeftHand,ThrowEarthPrison_V2,,15:40:59.753156
LeftHand,ThrowFire_V2,,15:40:59.753231
LeftHand,ThrowGust_V2,,15:40:59.753245
LeftHand,ActivateFire_V2,,15:41:00.219631
RightHand,ActivateFire_V2,,15:41:00.709460
RightHand,Recover_V1,ActivateRecover_V1,15:41:07.198091
RightHand,Recover_V2,,15:41:07.220279
RightHand,Recover_V1,ActivateRecover_V1,15:41:18.480453
RightHand,Recover_V2,,15:41:18.480508
LeftHand,ThrowEarthPrison_V2,,15:41:21.716505
LeftHand,ThrowFire_V2,,15:41:21.716590
LeftHand,ThrowGust_V2,,15:41:21.716600
LeftHand,ThrowEarthPrison_V2,,15:41:23.988490
LeftHand,ThrowFire_V2,,15:41:23.988565
LeftHand,ThrowGust_V2,,15:41:23.988575
RightHand,ThrowGust_V2,,15:41:26.814690
RightHand,ThrowFire_V2,,15:41:26.814765
RightHand,ThrowEarthPrison_V2,,15:41:26.814820
LeftHand,ThrowEarthPrison_V2,,15:41:29.547334
LeftHand,ThrowFire_V2,,15:41:29.547403
LeftHand,ThrowGust_V2,,15:41:29.547414
LeftHand,ThrowEarthPrison_V2,,15:41:32.929512
LeftHand,ThrowFire_V2,,15:41:32.929587
LeftHand,ThrowGust_V2,,15:41:32.929598
RightHand,ThrowGust_V2,,15:41:36.226798
RightHand,ThrowFire_V2,,15:41:36.226860
RightHand,ThrowEarthPrison_V2,,15:41:36.226875
LeftHand,ThrowEarthPrison_V2,,15:41:42.257900
LeftHand,ThrowFire_V2,,15:41:42.257971
LeftHand,ThrowGust_V2,,15:41:42.257981
LeftHand,ActivateFire_V2,,15:41:44.978749
RightHand,ActivateFire_V2,,15:41:47.044127
LeftHand,ThrowEarthPrison_V2,,15:41:47.338428
LeftHand,ThrowFire_V2,,15:41:47.338493
LeftHand,ThrowGust_V2,,15:41:47.338502
LeftHand,,ShootFire_V2,15:41:47.839887
LeftHand,ActivateFire_V2,,15:41:48.825415
RightHand,ThrowGust_V2,,15:41:49.714300
RightHand,ThrowFire_V2,,15:41:49.714358
RightHand,ThrowEarthPrison_V2,,15:41:49.714367
RightHand,,ShootFire_V2,15:41:50.230025
RightHand,ActivateFire_V2,,15:41:51.622197
RightHand,ThrowGust_V2,,15:41:52.907535
RightHand,ThrowFire_V2,,15:41:52.907594
RightHand,ThrowEarthPrison_V2,,15:41:52.907604
LeftHand,ThrowEarthPrison_V2,,15:41:53.052496
LeftHand,ThrowFire_V2,,15:41:53.052555
LeftHand,ThrowGust_V2,,15:41:53.052563
RightHand,,ShootFire_V2,15:41:53.407473
LeftHand,,ShootFire_V2,15:41:53.576150
RightHand,Aim_V1,,15:41:54.110865
RightHand,Aim_V1,,15:41:56.377831
RightHand,Aim_V1,,15:41:57.422142
RightHand,Aim_V1,,15:41:58.690823
RightHand,Aim_V1,,15:42:04.509588
LeftHand,ThrowEarthPrison_V2,,15:42:11.290071
LeftHand,ThrowFire_V2,,15:42:11.290201
LeftHand,ThrowGust_V2,,15:42:11.290223
LeftHand,ThrowEarthPrison_V2,,15:42:12.499458
LeftHand,ThrowFire_V2,,15:42:12.499527
LeftHand,ThrowGust_V2,,15:42:12.499536
LeftHand,ActivateFire_V2,,15:42:12.878534
LeftHand,ActivateFire_V2,,15:42:15.022559
RightHand,ActivateFire_V2,,15:42:17.120458
RightHand,ThrowGust_V2,,15:42:18.223743
RightHand,ThrowFire_V2,,15:42:18.223796
RightHand,ThrowEarthPrison_V2,,15:42:18.223805
RightHand,,ShootFire_V2,15:42:18.725623
LeftHand,ActivateFire_V2,,15:42:21.234884
RightHand,ActivateFire_V2,,15:42:21.325579
RightHand,ThrowGust_V2,,15:42:22.802018
RightHand,ThrowFire_V2,,15:42:22.802090
RightHand,ThrowEarthPrison_V2,,15:42:22.802100
RightHand,,ShootFire_V2,15:42:23.333048
RightHand,ActivateFire_V2,,15:42:24.060852
RightHand,ThrowGust_V2,,15:42:25.927486
RightHand,ThrowFire_V2,,15:42:25.927548
RightHand,ThrowEarthPrison_V2,,15:42:25.927558
RightHand,,ShootFire_V2,15:42:26.444143
RightHand,ActivateFire_V2,,15:42:27.090565
RightHand,ThrowGust_V2,,15:42:29.384472
RightHand,ThrowFire_V2,,15:42:29.384535
RightHand,ThrowEarthPrison_V2,,15:42:29.384545
RightHand,,ShootFire_V2,15:42:29.927199
LeftHand,ThrowEarthPrison_V2,,15:42:31.194284
LeftHand,ThrowFire_V2,,15:42:31.194343
LeftHand,ThrowGust_V2,,15:42:31.194352
LeftHand,,ShootFire_V2,15:42:31.684678
RightHand,ThrowGust_V2,,15:42:31.714260
RightHand,ThrowFire_V2,,15:42:31.714325
RightHand,ThrowEarthPrison_V2,,15:42:31.714339
LeftHand,ActivateFire_V2,,15:42:32.239000
RightHand,Aim_V1,,15:42:36.300637
