CallerHand,GestureInput,ActionExecuted,Time
RightHand,ThrowEarthPrison_V2,,14:37:10.224048
RightHand,ActivateFire_V2,,14:37:10.458729
RightHand,ActivateFire_V2,,14:37:10.737103
RightHand,ThrowEarthPrison_V2,,14:37:11.035291
RightHand,ActivateFire_V2,,14:37:11.475606
RightHand,ActivateFire_V2,,14:37:11.799051
RightHand,ActivateFire_V2,,14:37:12.538277
RightHand,ThrowGust_V2,,14:37:19.331814
RightHand,ThrowFire_V2,,14:37:19.331884
RightHand,ThrowEarthPrison_V2,,14:37:19.331901
RightHand,ActivateActivationEarthPrison_V2,,14:37:22.437002
RightHand,ThrowEarthPrison_V2,,14:37:22.608401
RightHand,ActivateFire_V2,,14:37:23.060171
RightHand,ThrowGust_V2,,14:37:24.830069
RightHand,ThrowFire_V2,,14:37:24.830127
RightHand,ThrowEarthPrison_V2,,14:37:24.830137
LeftHand,ThrowEarthPrison_V2,,14:37:24.878117
LeftHand,ThrowFire_V2,,14:37:24.878187
LeftHand,ThrowGust_V2,,14:37:24.878197
RightHand,,ShootFire_V2,14:37:25.341056
RightHand,ActivateFire_V2,,14:37:25.541311
RightHand,ThrowGust_V2,,14:37:26.151753
RightHand,ThrowFire_V2,,14:37:26.151813
RightHand,ThrowEarthPrison_V2,,14:37:26.151824
RightHand,,ShootFire_V2,14:37:26.673844
RightHand,ActivateFire_V2,,14:37:26.918202
RightHand,ThrowGust_V2,,14:37:27.484608
RightHand,ThrowFire_V2,,14:37:27.484664
RightHand,ThrowEarthPrison_V2,,14:37:27.484674
RightHand,,ShootFire_V2,14:37:27.995686
RightHand,ActivateFire_V2,,14:37:28.351650
RightHand,ThrowGust_V2,,14:37:28.875777
RightHand,ThrowFire_V2,,14:37:28.875860
RightHand,ThrowEarthPrison_V2,,14:37:28.875880
RightHand,,ShootFire_V2,14:37:29.407466
RightHand,ActivateActivationEarthPrison_V2,,14:37:31.516846
RightHand,ActivateFire_V2,,14:37:32.917241
RightHand,ActivateFire_V2,,14:37:33.226987
RightHand,ThrowGust_V2,,14:37:35.282553
RightHand,ThrowFire_V2,,14:37:35.282611
RightHand,ThrowEarthPrison_V2,,14:37:35.282625
RightHand,,ShootFire_V2,14:37:35.793255
RightHand,ActivateFire_V2,,14:37:35.958110
RightHand,ThrowGust_V2,,14:37:36.623423
RightHand,ThrowFire_V2,,14:37:36.623498
RightHand,ThrowEarthPrison_V2,,14:37:36.623508
RightHand,,ShootFire_V2,14:37:37.169749
RightHand,ActivateFire_V2,,14:37:37.381643
RightHand,ThrowGust_V2,,14:37:37.958817
RightHand,ThrowFire_V2,,14:37:37.958890
RightHand,ThrowEarthPrison_V2,,14:37:37.958900
RightHand,,ShootFire_V2,14:37:38.492230
RightHand,ActivateFire_V2,,14:37:38.903581
RightHand,ThrowGust_V2,,14:37:39.413145
RightHand,ThrowFire_V2,,14:37:39.413203
RightHand,ThrowEarthPrison_V2,,14:37:39.413212
LeftHand,ThrowEarthPrison_V2,,14:37:39.868824
LeftHand,ThrowFire_V2,,14:37:39.868880
LeftHand,ThrowGust_V2,,14:37:39.868892
RightHand,,ShootFire_V2,14:37:39.914811
RightHand,ActivateFire_V2,,14:37:40.235996
RightHand,ThrowGust_V2,,14:37:40.879503
RightHand,ThrowFire_V2,,14:37:40.879575
RightHand,ThrowEarthPrison_V2,,14:37:40.879587
RightHand,,ShootFire_V2,14:37:41.412423
RightHand,ActivateFire_V2,,14:37:43.384670
RightHand,ActivateFire_V2,,14:37:43.710909
RightHand,ActivateFire_V2,,14:37:44.459384
RightHand,ThrowGust_V2,,14:37:50.764491
RightHand,ThrowFire_V2,,14:37:50.764551
RightHand,ThrowEarthPrison_V2,,14:37:50.764563
RightHand,,ShootFire_V2,14:37:51.285408
LeftHand,ThrowEarthPrison_V2,,14:37:54.829206
LeftHand,ThrowFire_V2,,14:37:54.829269
LeftHand,ThrowGust_V2,,14:37:54.829278
RightHand,ActivateFire_V2,,14:37:55.117487
RightHand,ActivateFire_V2,,14:38:03.004455
RightHand,ActivateFire_V2,,14:38:03.559804
RightHand,ActivateFire_V2,,14:38:04.725739
RightHand,ThrowGust_V2,,14:38:05.547052
RightHand,ThrowFire_V2,,14:38:05.547112
RightHand,ThrowEarthPrison_V2,,14:38:05.547124
RightHand,ActivateFire_V2,,14:38:06.314314
RightHand,ThrowGust_V2,,14:38:06.868971
RightHand,ThrowFire_V2,,14:38:06.869032
RightHand,ThrowEarthPrison_V2,,14:38:06.869041
RightHand,,ShootFire_V2,14:38:07.380127
RightHand,ActivateFire_V2,,14:38:07.736249
RightHand,ThrowGust_V2,,14:38:08.224468
RightHand,ThrowFire_V2,,14:38:08.224527
RightHand,ThrowEarthPrison_V2,,14:38:08.224539
RightHand,,ShootFire_V2,14:38:08.735065
LeftHand,ThrowEarthPrison_V2,,14:38:08.757246
LeftHand,ThrowFire_V2,,14:38:08.757307
LeftHand,ThrowGust_V2,,14:38:08.757316
RightHand,ActivateFire_V2,,14:38:09.553061
RightHand,ThrowGust_V2,,14:38:10.167030
RightHand,ThrowFire_V2,,14:38:10.167085
RightHand,ThrowEarthPrison_V2,,14:38:10.167097
RightHand,,ShootFire_V2,14:38:10.683637
RightHand,ActivateFire_V2,,14:38:14.468872
RightHand,ThrowGust_V2,,14:38:20.452443
RightHand,ThrowFire_V2,,14:38:20.452504
RightHand,ThrowEarthPrison_V2,,14:38:20.452514
RightHand,,ShootFire_V2,14:38:20.963950
RightHand,ActivateFire_V2,,14:38:21.208285
RightHand,ThrowGust_V2,,14:38:21.818626
RightHand,ThrowFire_V2,,14:38:21.818688
RightHand,ThrowEarthPrison_V2,,14:38:21.818697
RightHand,,ShootFire_V2,14:38:22.340907
LeftHand,ThrowEarthPrison_V2,,14:38:23.029745
LeftHand,ThrowFire_V2,,14:38:23.029808
LeftHand,ThrowGust_V2,,14:38:23.029823
RightHand,ActivateFire_V2,,14:38:23.231832
RightHand,ThrowGust_V2,,14:38:24.042383
RightHand,ThrowFire_V2,,14:38:24.042444
RightHand,ThrowEarthPrison_V2,,14:38:24.042455
RightHand,,ShootFire_V2,14:38:24.556605
RightHand,ActivateFire_V2,,14:38:25.631165
RightHand,ThrowGust_V2,,14:38:26.461375
RightHand,ThrowFire_V2,,14:38:26.461453
RightHand,ThrowEarthPrison_V2,,14:38:26.461463
RightHand,,ShootFire_V2,14:38:26.984297
RightHand,ActivateFire_V2,,14:38:27.783469
RightHand,ThrowGust_V2,,14:38:28.562610
RightHand,ThrowFire_V2,,14:38:28.562672
RightHand,ThrowEarthPrison_V2,,14:38:28.562683
RightHand,,ShootFire_V2,14:38:29.067541
RightHand,ActivateFire_V2,,14:38:29.262078
RightHand,ThrowGust_V2,,14:38:29.604990
RightHand,ThrowFire_V2,,14:38:29.605048
RightHand,ThrowEarthPrison_V2,,14:38:29.605057
RightHand,ActivateFire_V2,,14:38:30.248942
RightHand,ThrowGust_V2,,14:38:30.592480
RightHand,ThrowFire_V2,,14:38:30.592541
RightHand,ThrowEarthPrison_V2,,14:38:30.592552
RightHand,,ShootFire_V2,14:38:31.109028
RightHand,ActivateFire_V2,,14:38:31.281957
LeftHand,ThrowEarthPrison_V2,,14:38:32.607549
LeftHand,ThrowFire_V2,,14:38:32.607625
LeftHand,ThrowGust_V2,,14:38:32.607635
LeftHand,Recover_V2,,14:38:33.495696
LeftHand,Recover_V1,ActivateRecover_V1,14:38:33.496077
RightHand,ThrowGust_V2,,14:38:34.562725
RightHand,ThrowFire_V2,,14:38:34.562785
RightHand,ThrowEarthPrison_V2,,14:38:34.562795
RightHand,ThrowGust_V2,,14:38:36.557231
RightHand,ThrowFire_V2,,14:38:36.557304
RightHand,ThrowEarthPrison_V2,,14:38:36.557315
LeftHand,ThrowEarthPrison_V2,,14:38:48.041886
LeftHand,ThrowFire_V2,,14:38:48.041954
LeftHand,ThrowGust_V2,,14:38:48.041965
RightHand,ActivateFire_V2,,14:38:50.335364
RightHand,ThrowGust_V2,,14:38:51.151407
RightHand,ThrowFire_V2,,14:38:51.151479
RightHand,ThrowEarthPrison_V2,,14:38:51.151490
RightHand,,ShootFire_V2,14:38:51.695605
RightHand,ActivateFire_V2,,14:38:51.893581
RightHand,ThrowGust_V2,,14:38:52.444844
RightHand,ThrowFire_V2,,14:38:52.444906
RightHand,ThrowEarthPrison_V2,,14:38:52.444917
RightHand,,ShootFire_V2,14:38:52.995465
LeftHand,ThrowEarthPrison_V2,,14:38:53.439284
LeftHand,ThrowFire_V2,,14:38:53.439350
LeftHand,ThrowGust_V2,,14:38:53.439361
RightHand,ActivateFire_V2,,14:38:54.244309
RightHand,ThrowGust_V2,,14:38:54.915675
RightHand,ThrowFire_V2,,14:38:54.915736
RightHand,ThrowEarthPrison_V2,,14:38:54.915748
RightHand,,ShootFire_V2,14:38:55.442088
RightHand,ActivateFire_V2,,14:38:58.030870
RightHand,ActivateFire_V2,,14:38:58.400459
RightHand,ThrowGust_V2,,14:39:01.941991
RightHand,ThrowFire_V2,,14:39:01.942051
RightHand,ThrowEarthPrison_V2,,14:39:01.942062
RightHand,,ShootFire_V2,14:39:02.447361
RightHand,ActivateFire_V2,,14:39:02.603333
RightHand,ThrowGust_V2,,14:39:03.091433
RightHand,ThrowFire_V2,,14:39:03.091508
RightHand,ThrowEarthPrison_V2,,14:39:03.091520
RightHand,,ShootFire_V2,14:39:03.613505
RightHand,ActivateFire_V2,,14:39:03.991606
RightHand,ThrowGust_V2,,14:39:04.435476
RightHand,ThrowFire_V2,,14:39:04.435553
RightHand,ThrowEarthPrison_V2,,14:39:04.435565
RightHand,,ShootFire_V2,14:39:04.957731
RightHand,ActivateFire_V2,,14:39:05.391448
RightHand,ThrowGust_V2,,14:39:06.057018
RightHand,ThrowFire_V2,,14:39:06.057076
RightHand,ThrowEarthPrison_V2,,14:39:06.057086
RightHand,,ShootFire_V2,14:39:06.588240
RightHand,ActivateFire_V2,,14:39:06.755108
LeftHand,ActivateFire_V2,,14:39:07.301593
LeftHand,Recover_V2,,14:39:07.921623
LeftHand,Recover_V1,ActivateRecover_V1,14:39:07.921996
LeftHand,Recover_V2,,14:39:19.262514
LeftHand,Recover_V1,ActivateRecover_V1,14:39:19.262869
LeftHand,Recover_V2,,14:39:19.635069
LeftHand,Recover_V1,ActivateRecover_V1,14:39:19.635434
LeftHand,Recover_V2,,14:39:21.018624
LeftHand,Recover_V1,ActivateRecover_V1,14:39:21.018979
LeftHand,Recover_V2,,14:39:21.272986
LeftHand,Recover_V1,ActivateRecover_V1,14:39:21.273362
LeftHand,Recover_V2,,14:39:21.816650
LeftHand,Recover_V1,ActivateRecover_V1,14:39:21.817028
LeftHand,Recover_V2,,14:39:23.395965
LeftHand,Recover_V1,ActivateRecover_V1,14:39:23.396404
RightHand,Recover_V1,ActivateRecover_V1,14:39:25.330919
RightHand,Recover_V2,,14:39:25.330980
LeftHand,Recover_V2,,14:39:25.349119
Both,,ActivateRecover_V2,14:39:25.349422
LeftHand,Recover_V1,ActivateRecover_V1,14:39:25.349547
LeftHand,Recover_V2,,14:39:28.368864
Both,,ActivateRecover_V2,14:39:28.369183
LeftHand,Recover_V1,ActivateRecover_V1,14:39:28.369312
LeftHand,Recover_V2,,14:39:31.763984
Both,,ActivateRecover_V2,14:39:31.764299
LeftHand,Recover_V1,ActivateRecover_V1,14:39:31.764421
LeftHand,Recover_V2,,14:39:34.349158
Both,,ActivateRecover_V2,14:39:34.349502
LeftHand,Recover_V1,ActivateRecover_V1,14:39:34.349631
LeftHand,Recover_V2,,14:39:34.829994
Both,,ActivateRecover_V2,14:39:34.830315
LeftHand,Recover_V1,ActivateRecover_V1,14:39:34.830438
RightHand,ActivateFire_V2,,14:39:35.728934
RightHand,ThrowGust_V2,,14:39:36.628654
RightHand,ThrowFire_V2,,14:39:36.628724
RightHand,ThrowEarthPrison_V2,,14:39:36.628735
RightHand,,ShootFire_V2,14:39:37.156163
RightHand,ActivateFire_V2,,14:39:37.267511
RightHand,ThrowGust_V2,,14:39:37.811638
RightHand,ThrowFire_V2,,14:39:37.811706
RightHand,ThrowEarthPrison_V2,,14:39:37.811717
RightHand,,ShootFire_V2,14:39:38.333357
RightHand,ActivateFire_V2,,14:39:38.664615
RightHand,ThrowGust_V2,,14:39:40.341214
RightHand,ThrowFire_V2,,14:39:40.341281
RightHand,ThrowEarthPrison_V2,,14:39:40.341292
RightHand,ActivateFire_V2,,14:39:40.837905
RightHand,ThrowGust_V2,,14:39:41.273040
RightHand,ThrowFire_V2,,14:39:41.273110
RightHand,ThrowEarthPrison_V2,,14:39:41.273120
RightHand,,ShootFire_V2,14:39:41.774631
RightHand,ActivateFire_V2,,14:39:41.876446
RightHand,ThrowGust_V2,,14:39:42.309407
RightHand,ThrowFire_V2,,14:39:42.309471
RightHand,ThrowEarthPrison_V2,,14:39:42.309482
RightHand,,ShootFire_V2,14:39:42.809426
RightHand,ActivateFire_V2,,14:39:43.298558
RightHand,ThrowGust_V2,,14:39:43.976411
RightHand,ThrowFire_V2,,14:39:43.976496
RightHand,ThrowEarthPrison_V2,,14:39:43.976507
RightHand,,ShootFire_V2,14:39:44.504095
RightHand,ActivateFire_V2,,14:39:46.375311
LeftHand,Recover_V1,ActivateRecover_V1,14:39:46.430213
LeftHand,Recover_V2,,14:39:46.507689
LeftHand,Recover_V2,,14:39:48.724011
LeftHand,Recover_V1,ActivateRecover_V1,14:39:48.724406
LeftHand,Recover_V2,,14:39:49.995044
LeftHand,Recover_V1,ActivateRecover_V1,14:39:49.995402
LeftHand,Recover_V2,,14:39:51.150445
LeftHand,Recover_V1,ActivateRecover_V1,14:39:51.150775
RightHand,ActivateFire_V2,,14:39:54.894675
RightHand,ThrowGust_V2,,14:39:59.714022
RightHand,ThrowFire_V2,,14:39:59.714097
RightHand,ThrowEarthPrison_V2,,14:39:59.714107
RightHand,ActivateFire_V2,,14:40:00.267228
RightHand,ThrowGust_V2,,14:40:00.625426
RightHand,ThrowFire_V2,,14:40:00.625493
RightHand,ThrowEarthPrison_V2,,14:40:00.625504
RightHand,,ShootFire_V2,14:40:01.156845
RightHand,ActivateFire_V2,,14:40:01.323354
LeftHand,Recover_V2,,14:40:03.845400
LeftHand,Recover_V1,ActivateRecover_V1,14:40:03.845749
RightHand,ThrowGust_V2,,14:40:05.907267
RightHand,ThrowFire_V2,,14:40:05.907340
RightHand,ThrowEarthPrison_V2,,14:40:05.907352
RightHand,,ShootFire_V2,14:40:06.411170
RightHand,ActivateFire_V2,,14:40:06.639963
RightHand,ThrowGust_V2,,14:40:07.577825
RightHand,ThrowFire_V2,,14:40:07.577898
RightHand,ThrowEarthPrison_V2,,14:40:07.577912
RightHand,,ShootFire_V2,14:40:08.078069
RightHand,ActivateFire_V2,,14:40:08.432896
RightHand,ThrowGust_V2,,14:40:08.854539
RightHand,ThrowFire_V2,,14:40:08.854624
RightHand,ThrowEarthPrison_V2,,14:40:08.854633
RightHand,,ShootFire_V2,14:40:09.399672
RightHand,ActivateFire_V2,,14:40:10.143873
LeftHand,Recover_V2,,14:40:11.042568
LeftHand,Recover_V1,ActivateRecover_V1,14:40:11.042946
LeftHand,Recover_V2,,14:40:11.420304
LeftHand,Recover_V1,ActivateRecover_V1,14:40:11.420650
RightHand,ThrowGust_V2,,14:40:11.597710
RightHand,ThrowFire_V2,,14:40:11.597784
RightHand,ThrowEarthPrison_V2,,14:40:11.597793
RightHand,,ShootFire_V2,14:40:12.117079
RightHand,Aim_V1,,14:40:14.063512
RightHand,Aim_V1,,14:40:16.433659
RightHand,Aim_V1,,14:40:20.238280
RightHand,Aim_V1,,14:40:22.093601
RightHand,Aim_V1,,14:40:22.615655
RightHand,Aim_V1,,14:40:24.875504
RightHand,Aim_V1,,14:40:26.270111
RightHand,Fire_V1,,14:40:27.191081
RightHand,,ShootFire_V1,14:40:27.288242
RightHand,Aim_V1,,14:40:27.468057
RightHand,Fire_V1,,14:40:28.282811
RightHand,,ShootFire_V1,14:40:28.395697
RightHand,Aim_V1,,14:40:29.365535
RightHand,Aim_V1,,14:40:30.903564
RightHand,ThrowGust_V2,,14:40:32.358859
RightHand,ThrowFire_V2,,14:40:32.358933
RightHand,ThrowEarthPrison_V2,,14:40:32.358957
RightHand,Lightning_V1,,14:40:33.481642
RightHand,ActivateGust_V2,,14:40:33.704626
RightHand,ActivateGust_V2,,14:40:34.084103
RightHand,Lightning_V1,,14:40:34.170215
RightHand,ThrowGust_V2,,14:40:35.209710
RightHand,ThrowFire_V2,,14:40:35.209773
RightHand,ThrowEarthPrison_V2,,14:40:35.209783
RightHand,ActivateGust_V2,,14:40:35.584496
RightHand,Lightning_V1,,14:40:35.702638
RightHand,ActivateGust_V2,,14:40:37.162345
RightHand,Lightning_V1,,14:40:37.173718
RightHand,ThrowGust_V2,,14:40:37.883324
RightHand,ThrowFire_V2,,14:40:37.883388
RightHand,ThrowEarthPrison_V2,,14:40:37.883400
RightHand,ActivateGust_V2,,14:40:38.511168
RightHand,ThrowGust_V2,,14:40:39.132210
RightHand,ThrowFire_V2,,14:40:39.132275
RightHand,ThrowEarthPrison_V2,,14:40:39.132287
RightHand,,ShootGust_V2,14:40:39.630997
RightHand,Lightning_V1,,14:40:39.771115
RightHand,ActivateGust_V2,,14:40:39.804224
RightHand,ThrowGust_V2,,14:40:40.151448
RightHand,ThrowFire_V2,,14:40:40.151510
RightHand,ThrowEarthPrison_V2,,14:40:40.151522
