CallerHand,GestureInput,ActionExecuted,Time
RightHand,ActivateFire_V2,,14:08:52.904033
RightHand,ActivateFire_V2,,14:08:53.102331
RightHand,ThrowEarthPrison_V2,,14:08:53.224997
RightHand,ActivateFire_V2,,14:08:54.439146
RightHand,ActivateThrowEarthPrison_V2,,14:08:55.213247
RightHand,ActivateFire_V2,,14:08:58.064890
RightHand,ActivateFire_V2,,14:09:01.092199
RightHand,ActivateFire_V2,,14:09:02.775861
RightHand,ActivateLightning_V2,,14:09:13.684468
RightHand,Aim_V1,,14:09:19.644661
RightHand,Lightning_V1,,14:09:23.314647
RightHand,,ShootLightning_V1,14:09:23.328199
RightHand,,ShootLightning_V1,14:09:23.480500
RightHand,Fire_V1,,14:09:26.494180
RightHand,,ShootFire_V1,14:09:26.599626
RightHand,Aim_V1,,14:09:27.601928
RightHand,Fire_V1,,14:09:39.809645
RightHand,,ShootFire_V1,14:09:39.909022
RightHand,Aim_V1,,14:09:41.941843
RightHand,Aim_V1,,14:09:45.648122
RightHand,Aim_V1,,14:09:46.565599
RightHand,Aim_V1,,14:09:47.106889
RightHand,Fire_V1,,14:09:47.512261
RightHand,,ShootFire_V1,14:09:47.614750
RightHand,Aim_V1,,14:09:49.609841
LeftHand,ThrowEarthPrison_V2,,14:09:54.132397
LeftHand,ThrowFire_V2,,14:09:54.132472
LeftHand,ThrowGust_V2,,14:09:54.132480
RightHand,Lightning_V1,,14:10:04.977618
RightHand,,ShootLightning_V1,14:10:04.991515
RightHand,Aim_V1,,14:10:05.219302
RightHand,Lightning_V1,,14:10:06.045965
RightHand,,ShootLightning_V1,14:10:06.061312
RightHand,Aim_V1,,14:10:06.339411
RightHand,Aim_V1,,14:10:08.014251
RightHand,Lightning_V1,,14:10:09.412853
RightHand,,ShootLightning_V1,14:10:09.427440
RightHand,Aim_V1,,14:10:11.098538
RightHand,Aim_V1,,14:10:13.491320
RightHand,ActivateFire_V2,,14:10:18.797939
RightHand,ActivateActivationEarthPrison_V2,,14:10:18.987477
RightHand,ActivateFire_V2,,14:10:19.728583
RightHand,ThrowGust_V2,,14:10:21.541427
RightHand,ThrowFire_V2,,14:10:21.541491
RightHand,ThrowEarthPrison_V2,,14:10:21.541499
RightHand,Shield_V2,,14:10:21.555450
RightHand,Aim_V1,,14:10:23.242107
RightHand,Lightning_V1,,14:10:24.030105
RightHand,,ShootLightning_V1,14:10:24.044101
RightHand,,ShootLightning_V1,14:10:24.215865
RightHand,Aim_V1,,14:10:30.269169
RightHand,Fire_V1,,14:10:32.149406
RightHand,,ShootFire_V1,14:10:32.252751
RightHand,Aim_V1,,14:10:34.490316
RightHand,Fire_V1,,14:10:35.357864
RightHand,,ShootFire_V1,14:10:35.469268
RightHand,Aim_V1,,14:10:36.066502
RightHand,Fire_V1,,14:10:36.890532
RightHand,,ShootFire_V1,14:10:36.998812
RightHand,Aim_V1,,14:10:39.022474
RightHand,Lightning_V1,,14:10:41.973578
RightHand,,ShootLightning_V1,14:10:41.991938
RightHand,,ShootLightning_V1,14:10:42.181669
RightHand,Lightning_V1,,14:10:42.481447
RightHand,,ShootLightning_V1,14:10:42.515452
RightHand,Aim_V1,,14:10:42.604505
LeftHand,ActivateFire_V2,,14:10:44.665787
LeftHand,Recover_V2,,14:10:48.491036
LeftHand,Recover_V1,ActivateRecover_V1,14:10:48.491413
RightHand,ActivateFire_V2,,14:10:53.753613
RightHand,ThrowGust_V2,,14:10:55.733192
RightHand,ThrowFire_V2,,14:10:55.733245
RightHand,ThrowEarthPrison_V2,,14:10:55.733254
RightHand,ThrowEarthPrison_V2,,14:10:56.164276
