CallerHand,GestureInput,ActionExecuted,Time
LeftHand,ThrowEarthPrison_V2,,16:48:43.113194
LeftHand,ThrowFire_V2,,16:48:43.113258
LeftHand,ThrowGust_V2,,16:48:43.113269
LeftHand,ThrowEarthPrison_V2,,16:48:45.544816
LeftHand,ThrowFire_V2,,16:48:45.544881
LeftHand,ThrowGust_V2,,16:48:45.544895
LeftHand,ThrowEarthPrison_V2,,16:48:49.373752
LeftHand,ThrowFire_V2,,16:48:49.373818
LeftHand,ThrowGust_V2,,16:48:49.373831
RightHand,ActivateFire_V2,,16:48:49.477076
LeftHand,ThrowEarthPrison_V2,,16:48:52.298698
LeftHand,ThrowFire_V2,,16:48:52.298760
LeftHand,ThrowGust_V2,,16:48:52.298770
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,16:48:52.914228
LeftHand,ThrowEarthPrison_V2,,16:48:53.992247
LeftHand,ThrowFire_V2,,16:48:53.992306
LeftHand,ThrowGust_V2,,16:48:53.992317
RightHand,Aim_V1,,16:48:54.403348
RightHand,Fire_V1,,16:48:55.288437
RightHand,,ShootFire_V1,16:48:55.399124
RightHand,Fire_V1,,16:48:56.052675
RightHand,Aim_V1,,16:48:56.436250
RightHand,Fire_V1,,16:48:57.499010
RightHand,,ShootFire_V1,16:48:57.602977
RightHand,Aim_V1,,16:48:58.517862
RightHand,Aim_V1,,16:49:04.254365
RightHand,Fire_V1,,16:49:05.679497
RightHand,,ShootFire_V1,16:49:05.797737
RightHand,ThrowGust_V2,,16:49:06.442654
RightHand,ThrowFire_V2,,16:49:06.442712
RightHand,ThrowEarthPrison_V2,,16:49:06.442723
LeftHand,ActivateActivationEarthPrison_V2,,16:49:06.487802
RightHand,ActivateFire_V2,,16:49:08.091904
RightHand,ThrowGust_V2,,16:49:08.737317
RightHand,ThrowFire_V2,,16:49:08.737375
RightHand,ThrowEarthPrison_V2,,16:49:08.737384
LeftHand,Shield_V1,ActivateShield_V1,16:49:08.938004
RightHand,,ShootFire_V2,16:49:09.243501
RightHand,ActivateFire_V2,,16:49:09.601429
RightHand,ThrowGust_V2,,16:49:10.719799
