CallerHand,GestureInput,ActionExecuted,Time
RightHand,Lightning_V1,,13:18:34.772485
RightHand,,ShootLightning_V1,13:18:34.879340
RightHand,ActivateGust_V2,,13:18:34.929186
RightHand,Aim_V1,,13:18:35.472527
RightHand,Lightning_V1,,13:18:36.650139
RightHand,ActivateGust_V2,,13:18:36.940405
RightHand,Lightning_V1,,13:18:36.968920
RightHand,,ShootLightning_V1,13:18:37.082830
RightHand,Aim_V1,,13:18:37.398207
LeftHand,ActivateActivationEarthPrison_V2,,13:18:43.654665
RightHand,Lightning_V1,,13:18:45.245647
RightHand,,ShootLightning_V1,13:18:45.264300
RightHand,,ShootLightning_V1,13:18:45.441632
RightHand,Lightning_V1,,13:18:48.224915
RightHand,,ShootLightning_V1,13:18:48.241057
LeftHand,ThrowEarthPrison_V2,,13:18:48.241161
LeftHand,ThrowFire_V2,,13:18:48.241220
LeftHand,ThrowGust_V2,,13:18:48.241241
RightHand,,ShootLightning_V1,13:18:48.419083
RightHand,Lightning_V1,,13:18:48.800909
RightHand,,ShootLightning_V1,13:18:48.817998
RightHand,Lightning_V1,,13:18:49.267966
RightHand,,ShootLightning_V1,13:18:49.280812
RightHand,,ShootLightning_V1,13:18:49.449429
RightHand,,ShootLightning_V1,13:18:49.657742
RightHand,,ShootLightning_V1,13:18:49.884819
RightHand,,ShootLightning_V1,13:18:50.075178
RightHand,,ShootLightning_V1,13:18:50.293610
RightHand,,ShootLightning_V1,13:18:50.497711
RightHand,,ShootLightning_V1,13:18:50.673354
RightHand,,ShootLightning_V1,13:18:50.879707
RightHand,,ShootLightning_V1,13:18:51.095352
RightHand,,ShootLightning_V1,13:18:51.284190
RightHand,,ShootLightning_V1,13:18:51.461962
RightHand,,ShootLightning_V1,13:18:51.660170
RightHand,,ShootLightning_V1,13:18:51.850715
RightHand,,ShootLightning_V1,13:18:52.028496
RightHand,,ShootLightning_V1,13:18:52.206645
LeftHand,ThrowEarthPrison_V2,,13:18:53.439995
LeftHand,ThrowFire_V2,,13:18:53.440064
LeftHand,ThrowGust_V2,,13:18:53.440075
RightHand,Lightning_V1,,13:18:54.130075
RightHand,,ShootLightning_V1,13:18:54.142146
RightHand,,ShootLightning_V1,13:18:54.305427
RightHand,,ShootLightning_V1,13:18:54.494192
RightHand,Lightning_V1,,13:18:56.973341
RightHand,,ShootLightning_V1,13:18:56.988579
RightHand,,ShootLightning_V1,13:18:57.142323
RightHand,Lightning_V1,,13:18:57.470589
RightHand,,ShootLightning_V1,13:18:57.497923
RightHand,,ShootLightning_V1,13:18:57.692403
RightHand,,ShootLightning_V1,13:18:57.925441
RightHand,,ShootLightning_V1,13:18:58.125560
RightHand,,ShootLightning_V1,13:18:58.304896
RightHand,,ShootLightning_V1,13:18:58.514423
RightHand,,ShootLightning_V1,13:18:58.692425
RightHand,,ShootLightning_V1,13:18:58.882077
RightHand,,ShootLightning_V1,13:18:59.100720
RightHand,,ShootLightning_V1,13:18:59.292185
RightHand,,ShootLightning_V1,13:18:59.469800
RightHand,,ShootLightning_V1,13:18:59.658607
RightHand,,ShootLightning_V1,13:18:59.836270
RightHand,,ShootLightning_V1,13:19:00.014996
RightHand,,ShootLightning_V1,13:19:00.169137
LeftHand,EarthPrison_V1,ActivateEarthPrison_V1,13:19:00.714281
RightHand,Lightning_V1,,13:19:00.884476
RightHand,,ShootLightning_V1,13:19:00.902636
RightHand,,ShootLightning_V1,13:19:01.052995
LeftHand,Recover_V2,,13:19:02.616084
LeftHand,Recover_V1,ActivateRecover_V1,13:19:02.616477
LeftHand,Recover_V2,,13:19:05.040324
LeftHand,Recover_V1,ActivateRecover_V1,13:19:05.040714
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,13:19:06.680129
RightHand,,ShootEarthPrison_V1,13:19:06.806147
RightHand,Gust_V1,,13:19:07.360276
RightHand,Aim_V1,,13:19:07.427661
RightHand,Lightning_V1,,13:19:07.427721
RightHand,,ShootGust_V1,13:19:07.477064
RightHand,,ShootLightning_V1,13:19:07.529272
RightHand,,ShootLightning_V1,13:19:07.729982
RightHand,,ShootLightning_V1,13:19:07.954277
RightHand,,ShootLightning_V1,13:19:08.166367
RightHand,,ShootLightning_V1,13:19:08.355469
RightHand,,ShootLightning_V1,13:19:08.544980
RightHand,Lightning_V1,,13:19:08.971614
RightHand,,ShootLightning_V1,13:19:08.988316
RightHand,,ShootLightning_V1,13:19:09.154801
RightHand,,ShootLightning_V1,13:19:09.332647
RightHand,,ShootLightning_V1,13:19:09.499397
RightHand,,ShootLightning_V1,13:19:09.707634
RightHand,,ShootLightning_V1,13:19:09.887969
RightHand,,ShootLightning_V1,13:19:10.108024
RightHand,,ShootLightning_V1,13:19:10.336497
LeftHand,Recover_V2,,13:19:10.401506
LeftHand,Recover_V1,ActivateRecover_V1,13:19:10.401893
RightHand,,ShootLightning_V1,13:19:10.532627
RightHand,,ShootLightning_V1,13:19:10.709920
RightHand,,ShootLightning_V1,13:19:10.881422
RightHand,,ShootLightning_V1,13:19:11.105746
RightHand,,ShootLightning_V1,13:19:11.341397
RightHand,Gust_V1,,13:19:11.542429
RightHand,,ShootLightning_V1,13:19:11.542800
RightHand,,ShootGust_V1,13:19:11.609348
RightHand,,ShootLightning_V1,13:19:11.762898
RightHand,,ShootLightning_V1,13:19:12.001524
RightHand,,ShootLightning_V1,13:19:12.209426
RightHand,,ShootLightning_V1,13:19:12.388758
RightHand,,ShootLightning_V1,13:19:12.586455
RightHand,,ShootLightning_V1,13:19:12.822087
RightHand,,ShootLightning_V1,13:19:12.998116
RightHand,,ShootLightning_V1,13:19:13.175849
RightHand,,ShootLightning_V1,13:19:13.353551
LeftHand,Recover_V2,,13:19:13.541507
LeftHand,Recover_V1,ActivateRecover_V1,13:19:13.541898
RightHand,,ShootLightning_V1,13:19:13.564624
RightHand,,ShootLightning_V1,13:19:13.742420
RightHand,,ShootLightning_V1,13:19:13.954410
RightHand,,ShootLightning_V1,13:19:14.142178
RightHand,,ShootLightning_V1,13:19:14.331732
RightHand,,ShootLightning_V1,13:19:14.541158
RightHand,,ShootLightning_V1,13:19:14.731063
RightHand,,ShootLightning_V1,13:19:14.941990
RightHand,,ShootLightning_V1,13:19:15.142687
RightHand,,ShootLightning_V1,13:19:15.341777
RightHand,,ShootLightning_V1,13:19:15.530618
RightHand,,ShootLightning_V1,13:19:15.709133
RightHand,,ShootLightning_V1,13:19:15.930350
RightHand,,ShootLightning_V1,13:19:16.120358
RightHand,,ShootLightning_V1,13:19:16.331114
RightHand,,ShootLightning_V1,13:19:16.529153
RightHand,,ShootLightning_V1,13:19:16.731519
RightHand,,ShootLightning_V1,13:19:16.937610
RightHand,,ShootLightning_V1,13:19:17.162027
RightHand,,ShootLightning_V1,13:19:17.395790
RightHand,,ShootLightning_V1,13:19:17.627502
RightHand,Lightning_V1,,13:19:19.494788
RightHand,,ShootLightning_V1,13:19:19.594967
RightHand,Aim_V1,,13:19:21.527884
RightHand,ActivateGust_V2,,13:19:22.084463
RightHand,ActivateGust_V2,,13:19:22.717260
RightHand,Lightning_V1,,13:19:23.031923
RightHand,Aim_V1,,13:19:23.438313
RightHand,Aim_V1,,13:19:24.593599
RightHand,Lightning_V1,,13:19:25.759509
RightHand,,ShootLightning_V1,13:19:25.782064
RightHand,,ShootLightning_V1,13:19:25.959718
RightHand,,ShootLightning_V1,13:19:26.154710
RightHand,Lightning_V1,,13:19:29.487093
RightHand,,ShootLightning_V1,13:19:29.522475
RightHand,,ShootLightning_V1,13:19:29.716531
RightHand,,ShootLightning_V1,13:19:29.956830
RightHand,,ShootLightning_V1,13:19:30.180614
RightHand,,ShootLightning_V1,13:19:30.415765
RightHand,,ShootLightning_V1,13:19:30.650196
RightHand,,ShootLightning_V1,13:19:30.884601
RightHand,,ShootLightning_V1,13:19:31.119471
RightHand,Aim_V1,,13:19:31.990161
RightHand,Aim_V1,,13:19:33.467351
RightHand,Lightning_V1,,13:19:36.857504
RightHand,Lightning_V1,,13:19:37.458346
LeftHand,Recover_V2,,13:19:37.521520
LeftHand,Recover_V1,ActivateRecover_V1,13:19:37.521893
RightHand,ThrowGust_V2,,13:19:37.832318
RightHand,ThrowFire_V2,,13:19:37.832394
RightHand,ThrowEarthPrison_V2,,13:19:37.832403
RightHand,Aim_V1,,13:19:39.294625
RightHand,ActivateGust_V2,,13:19:39.759616
LeftHand,Recover_V2,,13:19:40.453834
LeftHand,Recover_V1,ActivateRecover_V1,13:19:40.454187
RightHand,Lightning_V1,,13:19:40.664637
RightHand,ActivateGust_V2,,13:19:41.026333
RightHand,Lightning_V1,,13:19:41.242210
RightHand,Aim_V1,,13:19:41.656697
RightHand,Lightning_V1,,13:19:41.875651
RightHand,,ShootLightning_V1,13:19:41.892272
RightHand,,ShootLightning_V1,13:19:42.063382
RightHand,,ShootLightning_V1,13:19:42.239172
RightHand,,ShootLightning_V1,13:19:42.420832
RightHand,,ShootLightning_V1,13:19:42.624674
LeftHand,Recover_V2,,13:19:45.096498
LeftHand,Recover_V1,ActivateRecover_V1,13:19:45.096880
RightHand,Aim_V1,,13:19:50.382997
RightHand,Lightning_V1,,13:19:51.764351
RightHand,,ShootLightning_V1,13:19:51.781178
RightHand,,ShootLightning_V1,13:19:51.949297
RightHand,,ShootLightning_V1,13:19:52.158897
RightHand,,ShootLightning_V1,13:19:52.338355
RightHand,Aim_V1,,13:19:53.182094
RightHand,Lightning_V1,,13:19:53.574516
RightHand,,ShootLightning_V1,13:19:53.589444
RightHand,,ShootLightning_V1,13:19:53.757426
RightHand,,ShootLightning_V1,13:19:53.933003
RightHand,,ShootLightning_V1,13:19:54.115361
RightHand,,ShootLightning_V1,13:19:54.293172
RightHand,,ShootLightning_V1,13:19:54.470778
RightHand,,ShootLightning_V1,13:19:54.649022
RightHand,,ShootLightning_V1,13:19:54.849033
RightHand,Lightning_V1,,13:20:00.210306
RightHand,,ShootLightning_V1,13:20:00.244769
RightHand,Gust_V1,,13:20:00.346173
RightHand,,ShootGust_V1,13:20:00.413746
RightHand,,ShootLightning_V1,13:20:00.446610
RightHand,,ShootLightning_V1,13:20:00.660255
RightHand,,ShootLightning_V1,13:20:00.867182
LeftHand,Recover_V2,,13:20:00.901912
LeftHand,Recover_V1,ActivateRecover_V1,13:20:00.902275
RightHand,,ShootLightning_V1,13:20:01.101113
