CallerHand,GestureInput,ActionExecuted,Time
LeftHand,ThrowEarthPrison_V2,,16:13:04.707824
LeftHand,ThrowFire_V2,,16:13:04.707909
LeftHand,ThrowGust_V2,,16:13:04.707919
LeftHand,ThrowEarthPrison_V2,,16:13:06.763376
LeftHand,ThrowFire_V2,,16:13:06.763447
LeftHand,ThrowGust_V2,,16:13:06.763461
RightHand,Aim_V1,,16:13:08.423023
LeftHand,Aim_V1,,16:13:08.690184
LeftHand,ThrowEarthPrison_V2,,16:13:14.226427
LeftHand,ThrowFire_V2,,16:13:14.226509
LeftHand,ThrowGust_V2,,16:13:14.226518
RightHand,Fire_V1,,16:13:15.053709
RightHand,,ShootFire_V1,16:13:15.161603
LeftHand,Fire_V1,,16:13:16.856709
LeftHand,,ShootFire_V1,16:13:16.963727
RightHand,Aim_V1,,16:13:17.099502
RightHand,Aim_V1,,16:13:19.152576
LeftHand,Aim_V1,,16:13:19.297857
RightHand,ThrowGust_V2,,16:13:20.969540
RightHand,ThrowFire_V2,,16:13:20.969605
RightHand,ThrowEarthPrison_V2,,16:13:20.969615
RightHand,Aim_V1,,16:13:22.512278
RightHand,Aim_V1,,16:13:24.116131
RightHand,Aim_V1,,16:13:24.628482
LeftHand,Aim_V1,,16:13:24.628543
LeftHand,Fire_V1,,16:13:25.408249
RightHand,Fire_V1,,16:13:25.408320
RightHand,,ShootFire_V1,16:13:25.519990
LeftHand,,ShootFire_V1,16:13:25.520233
RightHand,Aim_V1,,16:13:25.787820
LeftHand,Aim_V1,,16:13:25.821281
RightHand,Aim_V1,,16:13:27.357329
RightHand,Aim_V1,,16:13:28.448933
RightHand,Aim_V1,,16:13:28.972621
RightHand,Fire_V1,,16:13:29.222481
RightHand,Aim_V1,,16:13:29.339383
RightHand,Aim_V1,,16:13:29.879716
RightHand,Aim_V1,,16:13:30.898978
RightHand,Aim_V1,,16:13:32.380615
LeftHand,Aim_V1,,16:13:33.594771
RightHand,Aim_V1,,16:13:34.441133
LeftHand,Aim_V1,,16:13:35.020216
LeftHand,Lightning_V1,,16:13:35.020311
LeftHand,,ShootLightning_V1,16:13:35.132286
RightHand,Aim_V1,,16:13:35.153967
RightHand,Fire_V1,,16:13:35.488375
RightHand,Aim_V1,,16:13:35.619933
RightHand,Fire_V1,,16:13:36.523811
RightHand,Aim_V1,,16:13:36.705866
RightHand,Aim_V1,,16:13:37.822449
LeftHand,ThrowEarthPrison_V2,,16:13:38.645855
LeftHand,ThrowFire_V2,,16:13:38.645935
LeftHand,ThrowGust_V2,,16:13:38.645946
RightHand,Aim_V1,,16:13:40.509993
LeftHand,Recover_V2,,16:13:40.747615
LeftHand,Recover_V1,ActivateRecover_V1,16:13:40.748060
RightHand,Fire_V1,,16:13:40.895741
RightHand,,ShootFire_V1,16:13:41.001489
RightHand,Aim_V1,,16:13:41.582855
RightHand,ThrowGust_V2,,16:13:44.749872
RightHand,ThrowFire_V2,,16:13:44.749949
RightHand,ThrowEarthPrison_V2,,16:13:44.749959
RightHand,ActivateFire_V2,,16:13:46.334664
RightHand,ThrowGust_V2,,16:13:46.997369
RightHand,ThrowFire_V2,,16:13:46.997441
RightHand,ThrowEarthPrison_V2,,16:13:46.997461
RightHand,,ShootFire_V2,16:13:47.511002
RightHand,ActivateFire_V2,,16:13:47.996011
RightHand,ActivateFire_V2,,16:13:48.903861
RightHand,ThrowGust_V2,,16:13:50.446165
RightHand,ThrowFire_V2,,16:13:50.446222
RightHand,ThrowEarthPrison_V2,,16:13:50.446232
RightHand,,ShootFire_V2,16:13:50.941773
RightHand,ActivateFire_V2,,16:13:53.031193
RightHand,ThrowGust_V2,,16:13:53.798651
RightHand,ThrowFire_V2,,16:13:53.798709
RightHand,ThrowEarthPrison_V2,,16:13:53.798718
RightHand,,ShootFire_V2,16:13:54.332961
RightHand,ActivateFire_V2,,16:13:55.457391
RightHand,ActivateFire_V2,,16:13:58.235664
RightHand,ThrowGust_V2,,16:13:59.545800
RightHand,ThrowFire_V2,,16:13:59.545858
RightHand,ThrowEarthPrison_V2,,16:13:59.545867
RightHand,,ShootFire_V2,16:14:00.053859
RightHand,ThrowEarthPrison_V2,,16:14:01.101125
RightHand,ActivateLightning_V2,,16:14:01.394977
RightHand,ActivateFire_V2,,16:14:03.456806
RightHand,ActivateFire_V2,,16:14:04.414035
RightHand,ThrowGust_V2,,16:14:04.602477
RightHand,ThrowFire_V2,,16:14:04.602542
RightHand,ThrowEarthPrison_V2,,16:14:04.602552
RightHand,Shield_V2,,16:14:04.981372
RightHand,,ShootFire_V2,16:14:05.115303
LeftHand,ActivateLightning_V2,,16:14:05.515691
LeftHand,ThrowEarthPrison_V2,,16:14:05.916716
LeftHand,ThrowFire_V2,,16:14:05.916778
LeftHand,ThrowGust_V2,,16:14:05.916791
RightHand,ActivateFire_V2,,16:14:08.270848
RightHand,ThrowGust_V2,,16:14:09.297950
RightHand,ThrowFire_V2,,16:14:09.298010
RightHand,ThrowEarthPrison_V2,,16:14:09.298022
RightHand,,ShootFire_V2,16:14:09.805743
RightHand,ActivateFire_V2,,16:14:10.229359
LeftHand,ActivateFire_V2,,16:14:11.358361
RightHand,ThrowGust_V2,,16:14:11.624419
RightHand,ThrowFire_V2,,16:14:11.624501
RightHand,ThrowEarthPrison_V2,,16:14:11.624517
RightHand,,ShootFire_V2,16:14:12.123985
LeftHand,ThrowEarthPrison_V2,,16:14:12.145404
LeftHand,ThrowFire_V2,,16:14:12.145471
LeftHand,ThrowGust_V2,,16:14:12.145482
RightHand,ActivateFire_V2,,16:14:12.931154
RightHand,Aim_V1,,16:14:14.440513
LeftHand,Aim_V1,,16:14:15.328352
LeftHand,Fire_V1,,16:14:15.528439
LeftHand,,ShootFire_V1,16:14:15.640454
LeftHand,Aim_V1,,16:14:15.983231
RightHand,Aim_V1,,16:14:16.408576
RightHand,Aim_V1,,16:14:17.722902
LeftHand,Aim_V1,,16:14:17.796213
RightHand,Aim_V1,,16:14:18.558590
LeftHand,Aim_V1,,16:14:18.640372
RightHand,Aim_V1,,16:14:20.022269
RightHand,Aim_V1,,16:14:21.357302
RightHand,Aim_V1,,16:14:22.044145
RightHand,Aim_V1,,16:14:24.898281
RightHand,Aim_V1,,16:14:27.781580
RightHand,Aim_V1,,16:14:28.478490
