CallerHand,GestureInput,ActionExecuted,Time
RightHand,Aim_V1,,12:49:23.459144
RightHand,ThrowGust_V2,,12:49:24.879478
RightHand,ThrowFire_V2,,12:49:24.879540
RightHand,ThrowEarthPrison_V2,,12:49:24.879551
LeftHand,ThrowEarthPrison_V2,,12:49:28.314560
LeftHand,ThrowFire_V2,,12:49:28.314637
LeftHand,ThrowGust_V2,,12:49:28.314646
RightHand,Fire_V1,,12:49:31.034605
RightHand,,ShootFire_V1,12:49:31.142237
RightHand,Aim_V1,,12:49:31.238356
RightHand,Recover_V1,ActivateRecover_V1,12:49:33.313077
RightHand,Recover_V2,,12:49:33.331939
RightHand,Fire_V1,,12:49:43.270956
RightHand,Aim_V1,,12:49:43.804387
RightHand,Aim_V1,,12:49:46.992945
RightHand,Fire_V1,,12:49:49.526021
RightHand,,ShootFire_V1,12:49:49.636581
RightHand,Aim_V1,,12:49:50.391238
LeftHand,ThrowEarthPrison_V2,,12:49:51.162772
LeftHand,ThrowFire_V2,,12:49:51.162840
LeftHand,ThrowGust_V2,,12:49:51.162848
RightHand,Fire_V1,,12:49:52.346994
RightHand,,ShootFire_V1,12:49:52.457758
RightHand,Aim_V1,,12:49:53.091428
RightHand,Aim_V1,,12:49:54.839987
RightHand,Fire_V1,,12:49:56.210857
RightHand,,ShootFire_V1,12:49:56.344737
LeftHand,ThrowEarthPrison_V2,,12:49:57.467041
LeftHand,ThrowFire_V2,,12:49:57.467103
LeftHand,ThrowGust_V2,,12:49:57.467115
RightHand,Aim_V1,,12:49:57.489148
RightHand,ThrowGust_V2,,12:49:57.489379
RightHand,ThrowFire_V2,,12:49:57.489430
RightHand,ThrowEarthPrison_V2,,12:49:57.489449
RightHand,Fire_V1,,12:49:59.705209
RightHand,,ShootFire_V1,12:49:59.812041
RightHand,Aim_V1,,12:49:59.932834
RightHand,Fire_V1,,12:50:02.242578
RightHand,,ShootFire_V1,12:50:02.349102
RightHand,Aim_V1,,12:50:02.531415
RightHand,Aim_V1,,12:50:04.691535
RightHand,Fire_V1,,12:50:05.645807
LeftHand,ThrowEarthPrison_V2,,12:50:05.867205
LeftHand,ThrowFire_V2,,12:50:05.867336
LeftHand,ThrowGust_V2,,12:50:05.867358
RightHand,Aim_V1,,12:50:05.898795
RightHand,Aim_V1,,12:50:07.057168
RightHand,Fire_V1,,12:50:08.056011
RightHand,,ShootFire_V1,12:50:08.158135
RightHand,Aim_V1,,12:50:09.641785
RightHand,Aim_V1,,12:50:13.005103
LeftHand,Recover_V2,,12:50:16.248195
LeftHand,Recover_V1,ActivateRecover_V1,12:50:16.248550
LeftHand,Recover_V2,,12:50:19.826085
LeftHand,Recover_V1,ActivateRecover_V1,12:50:19.826531
RightHand,Aim_V1,,12:50:22.876645
LeftHand,Recover_V2,,12:50:28.351441
LeftHand,Recover_V1,ActivateRecover_V1,12:50:28.351825
RightHand,ThrowGust_V2,,12:50:28.402552
RightHand,ThrowFire_V2,,12:50:28.402635
RightHand,ThrowEarthPrison_V2,,12:50:28.402647
LeftHand,Recover_V2,,12:50:28.932012
LeftHand,Recover_V1,ActivateRecover_V1,12:50:28.932377
RightHand,Aim_V1,,12:50:29.703377
RightHand,Aim_V1,,12:50:34.232342
LeftHand,ThrowEarthPrison_V2,,12:50:35.299788
LeftHand,ThrowFire_V2,,12:50:35.299871
LeftHand,ThrowGust_V2,,12:50:35.299880
RightHand,Fire_V1,,12:50:36.057530
RightHand,,ShootFire_V1,12:50:36.168886
RightHand,Fire_V1,,12:50:40.716321
RightHand,Gust_V1,,12:50:41.127275
RightHand,Aim_V1,,12:50:41.127353
RightHand,Lightning_V1,,12:50:41.127389
RightHand,Aim_V1,,12:50:43.170927
RightHand,Aim_V1,,12:50:45.625390
RightHand,Fire_V1,,12:50:47.231976
RightHand,,ShootFire_V1,12:50:47.339654
RightHand,Aim_V1,,12:50:47.497434
RightHand,Fire_V1,,12:50:49.579593
RightHand,,ShootFire_V1,12:50:49.689459
LeftHand,ThrowEarthPrison_V2,,12:50:49.862660
LeftHand,ThrowFire_V2,,12:50:49.862735
LeftHand,ThrowGust_V2,,12:50:49.862745
RightHand,Aim_V1,,12:51:00.242171
RightHand,ThrowGust_V2,,12:51:05.133046
RightHand,ThrowFire_V2,,12:51:05.133110
RightHand,ThrowEarthPrison_V2,,12:51:05.133119
RightHand,Aim_V1,,12:51:05.869357
LeftHand,ThrowEarthPrison_V2,,12:51:06.056452
LeftHand,ThrowFire_V2,,12:51:06.056520
LeftHand,ThrowGust_V2,,12:51:06.056530
RightHand,Aim_V1,,12:51:08.594364
RightHand,Aim_V1,,12:51:09.276940
RightHand,Aim_V1,,12:51:09.627283
RightHand,Aim_V1,,12:51:09.871504
RightHand,Aim_V1,,12:51:10.693399
RightHand,Fire_V1,,12:51:11.404458
RightHand,,ShootFire_V1,12:51:11.504663
RightHand,Aim_V1,,12:51:11.734184
RightHand,Aim_V1,,12:51:13.904231
RightHand,Fire_V1,,12:51:15.791316
RightHand,,ShootFire_V1,12:51:15.895472
LeftHand,ThrowEarthPrison_V2,,12:51:18.428607
LeftHand,ThrowFire_V2,,12:51:18.428677
LeftHand,ThrowGust_V2,,12:51:18.428689
RightHand,ThrowGust_V2,,12:51:22.257967
RightHand,ThrowFire_V2,,12:51:22.258029
RightHand,ThrowEarthPrison_V2,,12:51:22.258039
RightHand,Aim_V1,,12:51:23.844095
RightHand,Fire_V1,,12:51:25.032447
RightHand,,ShootFire_V1,12:51:25.132526
RightHand,Fire_V1,,12:51:25.275557
RightHand,Fire_V1,,12:51:25.720623
RightHand,Aim_V1,,12:51:26.003637
RightHand,Fire_V1,,12:51:26.636934
RightHand,,ShootFire_V1,12:51:26.764976
RightHand,Aim_V1,,12:51:26.842799
RightHand,Fire_V1,,12:51:30.419929
RightHand,Fire_V1,,12:51:30.775733
RightHand,Aim_V1,,12:51:31.032004
RightHand,Fire_V1,,12:51:32.930294
RightHand,Aim_V1,,12:51:33.329119
RightHand,Aim_V1,,12:51:37.485657
RightHand,Recover_V1,ActivateRecover_V1,12:51:38.405316
RightHand,Recover_V2,,12:51:38.405379
LeftHand,Recover_V2,,12:51:43.780552
LeftHand,Recover_V1,ActivateRecover_V1,12:51:43.780923
LeftHand,Recover_V2,,12:51:46.024112
LeftHand,Recover_V1,ActivateRecover_V1,12:51:46.024488
LeftHand,Recover_V2,,12:51:47.561305
LeftHand,Recover_V1,ActivateRecover_V1,12:51:47.561706
RightHand,ActivateActivationEarthPrison_V2,,12:51:58.902375
LeftHand,ThrowEarthPrison_V2,,12:51:59.937711
LeftHand,ThrowFire_V2,,12:51:59.937790
LeftHand,ThrowGust_V2,,12:51:59.937801
RightHand,ActivateActivationEarthPrison_V2,,12:52:00.443296
RightHand,Shield_V2,,12:52:04.044670
RightHand,ThrowGust_V2,,12:52:04.044706
RightHand,ThrowFire_V2,,12:52:04.044750
RightHand,ThrowEarthPrison_V2,,12:52:04.044758
RightHand,Shield_V2,,12:52:05.307798
RightHand,ActivateActivationEarthPrison_V2,,12:52:05.672724
LeftHand,ThrowEarthPrison_V2,,12:52:05.849710
LeftHand,ThrowFire_V2,,12:52:05.849787
LeftHand,ThrowGust_V2,,12:52:05.849798
RightHand,ActivateActivationEarthPrison_V2,,12:52:08.052094
RightHand,ActivateActivationEarthPrison_V2,,12:52:10.099402
