CallerHand,GestureInput,ActionExecuted,Time
RightHand,ThrowGust_V2,,14:40:55.256141
RightHand,ThrowFire_V2,,14:40:55.256380
RightHand,ThrowEarthPrison_V2,,14:40:55.256579
RightHand,Aim_V1,,14:40:57.316387
RightHand,Aim_V1,,14:40:58.352503
RightHand,Aim_V1,,14:40:59.379858
RightHand,Fire_V1,,14:40:59.744658
RightHand,,ShootFire_V1,14:40:59.846441
RightHand,Fire_V1,,14:41:00.112362
RightHand,Aim_V1,,14:41:01.189005
RightHand,Aim_V1,,14:41:02.276097
RightHand,Aim_V1,,14:41:03.211159
RightHand,Aim_V1,,14:41:03.828197
RightHand,Aim_V1,,14:41:04.651057
RightHand,Aim_V1,,14:41:05.416905
RightHand,Aim_V1,,14:41:11.354058
RightHand,Aim_V1,,14:41:12.141714
LeftHand,ThrowEarthPrison_V2,,14:41:12.867659
LeftHand,ThrowFire_V2,,14:41:12.868049
LeftHand,ThrowGust_V2,,14:41:12.868266
RightHand,Aim_V1,,14:41:13.666868
RightHand,Aim_V1,,14:41:14.903425
RightHand,Aim_V1,,14:41:15.838849
RightHand,Lightning_V1,,14:41:18.512054
RightHand,,ShootLightning_V1,14:41:18.634881
RightHand,Lightning_V1,,14:41:19.525282
RightHand,Aim_V1,,14:41:20.379303
RightHand,Lightning_V1,,14:41:21.793462
RightHand,,ShootLightning_V1,14:41:21.808381
RightHand,Aim_V1,,14:41:23.697556
LeftHand,ThrowEarthPrison_V2,,14:41:27.124650
LeftHand,ThrowFire_V2,,14:41:27.124725
LeftHand,ThrowGust_V2,,14:41:27.124734
RightHand,Lightning_V1,,14:41:28.691806
RightHand,,ShootLightning_V1,14:41:28.714291
RightHand,Aim_V1,,14:41:29.160324
RightHand,Lightning_V1,,14:41:29.783219
RightHand,,ShootLightning_V1,14:41:29.883984
RightHand,Lightning_V1,,14:41:30.145676
RightHand,Aim_V1,,14:41:30.346389
RightHand,Lightning_V1,,14:41:30.719542
RightHand,,ShootLightning_V1,14:41:30.752453
RightHand,Lightning_V1,,14:41:31.308135
LeftHand,ThrowEarthPrison_V2,,14:41:31.865320
LeftHand,ThrowFire_V2,,14:41:31.865384
LeftHand,ThrowGust_V2,,14:41:31.865394
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,14:41:32.099604
RightHand,EarthPrison_V1,ActivateEarthPrison_V1,14:41:32.734997
RightHand,Aim_V1,,14:41:33.558818
RightHand,Aim_V1,,14:41:38.938976
RightHand,Lightning_V1,,14:41:41.214827
LeftHand,ThrowEarthPrison_V2,,14:41:42.992728
LeftHand,ThrowFire_V2,,14:41:42.992795
LeftHand,ThrowGust_V2,,14:41:42.992806
RightHand,Aim_V1,,14:41:43.750445
RightHand,Aim_V1,,14:41:45.476455
RightHand,Aim_V1,,14:41:46.957532
RightHand,Lightning_V1,,14:41:47.525137
RightHand,,ShootLightning_V1,14:41:47.626401
RightHand,Lightning_V1,,14:41:47.924877
RightHand,Aim_V1,,14:41:48.205395
RightHand,Lightning_V1,,14:41:48.327049
RightHand,,ShootLightning_V1,14:41:48.459974
RightHand,Aim_V1,,14:41:48.883542
RightHand,Lightning_V1,,14:41:48.995999
RightHand,,ShootLightning_V1,14:41:49.028711
LeftHand,ThrowEarthPrison_V2,,14:41:56.855015
LeftHand,ThrowFire_V2,,14:41:56.855083
LeftHand,ThrowGust_V2,,14:41:56.855094
RightHand,Recover_V1,ActivateRecover_V1,14:41:57.280763
RightHand,Recover_V2,,14:41:57.296916
RightHand,Lightning_V1,,14:41:59.156939
LeftHand,ThrowEarthPrison_V2,,14:41:59.627085
LeftHand,ThrowFire_V2,,14:41:59.627147
LeftHand,ThrowGust_V2,,14:41:59.627158
RightHand,Recover_V1,ActivateRecover_V1,14:42:03.358253
LeftHand,ThrowEarthPrison_V2,,14:42:08.009982
LeftHand,ThrowFire_V2,,14:42:08.010103
LeftHand,ThrowGust_V2,,14:42:08.010115
RightHand,Aim_V1,,14:42:13.971751
RightHand,Fire_V1,,14:42:15.225758
RightHand,,ShootFire_V1,14:42:15.338981
RightHand,Aim_V1,,14:42:15.504887
LeftHand,ThrowEarthPrison_V2,,14:42:15.570179
LeftHand,ThrowFire_V2,,14:42:15.570243
LeftHand,ThrowGust_V2,,14:42:15.570252
RightHand,Aim_V1,,14:42:17.068217
RightHand,Fire_V1,,14:42:19.213453
RightHand,,ShootFire_V1,14:42:19.321914
RightHand,Aim_V1,,14:42:19.726322
RightHand,Lightning_V1,,14:42:23.238774
RightHand,,ShootLightning_V1,14:42:23.339475
RightHand,Aim_V1,,14:42:25.194094
RightHand,Fire_V1,,14:42:25.628568
