CallerHand,GestureInput,ActionExecuted,Time
RightHand,ThrowGust_V2,,14:06:43.865939
RightHand,ThrowFire_V2,,14:06:43.866033
RightHand,ThrowEarthPrison_V2,,14:06:43.866043
RightHand,ThrowGust_V2,,14:06:45.894762
RightHand,ThrowFire_V2,,14:06:45.894833
RightHand,ThrowEarthPrison_V2,,14:06:45.894850
RightHand,ThrowGust_V2,,14:06:48.665298
RightHand,ThrowFire_V2,,14:06:48.665360
RightHand,ThrowEarthPrison_V2,,14:06:48.665370
RightHand,ThrowGust_V2,,14:06:54.354782
RightHand,ThrowFire_V2,,14:06:54.354857
RightHand,ThrowEarthPrison_V2,,14:06:54.354867
RightHand,ThrowGust_V2,,14:06:56.028899
RightHand,ThrowFire_V2,,14:06:56.028962
RightHand,ThrowEarthPrison_V2,,14:06:56.028971
RightHand,Fire_V1,,14:06:57.903520
RightHand,AimLightning_V2,,14:06:57.904700
RightHand,Fire_V1,,14:07:00.129127
RightHand,Aim_V1,,14:07:01.176824
RightHand,Lightning_V1,,14:07:01.997652
RightHand,,ShootLightning_V1,14:07:02.124535
RightHand,ActivateGust_V2,,14:07:02.288476
RightHand,ThrowGust_V2,,14:07:03.891612
RightHand,ThrowFire_V2,,14:07:03.891822
RightHand,ThrowEarthPrison_V2,,14:07:03.891852
RightHand,,ShootGust_V2,14:07:04.392910
RightHand,Lightning_V1,,14:07:04.938120
RightHand,ActivateGust_V2,,14:07:04.939168
LeftHand,ThrowEarthPrison_V2,,14:07:05.083295
LeftHand,ThrowFire_V2,,14:07:05.083362
LeftHand,ThrowGust_V2,,14:07:05.083372
RightHand,ThrowGust_V2,,14:07:05.714820
RightHand,ThrowFire_V2,,14:07:05.714886
RightHand,ThrowEarthPrison_V2,,14:07:05.714904
RightHand,,ShootGust_V2,14:07:06.251469
RightHand,Lightning_V1,,14:07:06.931410
RightHand,ActivateGust_V2,,14:07:06.932518
RightHand,ThrowGust_V2,,14:07:07.677572
RightHand,ThrowFire_V2,,14:07:07.677635
RightHand,ThrowEarthPrison_V2,,14:07:07.677645
RightHand,,ShootGust_V2,14:07:08.212765
RightHand,Lightning_V1,,14:07:08.758186
RightHand,ActivateGust_V2,,14:07:09.003750
RightHand,Lightning_V1,,14:07:09.562847
RightHand,ThrowGust_V2,,14:07:09.715127
RightHand,ThrowFire_V2,,14:07:09.715183
RightHand,ThrowEarthPrison_V2,,14:07:09.715193
RightHand,,ShootGust_V2,14:07:10.227961
RightHand,ThrowGust_V2,,14:07:10.900381
RightHand,ThrowFire_V2,,14:07:10.900448
RightHand,ThrowEarthPrison_V2,,14:07:10.900459
RightHand,ThrowGust_V2,,14:07:11.285798
RightHand,ThrowFire_V2,,14:07:11.285856
RightHand,ThrowEarthPrison_V2,,14:07:11.285866
