CallerHand,GestureInput,ActionExecuted,Time
LeftHand,ThrowEarthPrison_V2,,15:06:55.079971
LeftHand,ThrowFire_V2,,15:06:55.080050
LeftHand,ThrowGust_V2,,15:06:55.080061
RightHand,Lightning_V1,,15:06:57.886161
LeftHand,ThrowEarthPrison_V2,,15:06:59.415432
LeftHand,ThrowFire_V2,,15:06:59.415503
LeftHand,ThrowGust_V2,,15:06:59.415517
LeftHand,ThrowEarthPrison_V2,,15:07:02.552842
LeftHand,ThrowFire_V2,,15:07:02.552901
LeftHand,ThrowGust_V2,,15:07:02.552917
RightHand,Aim_V1,,15:07:05.976958
LeftHand,ThrowEarthPrison_V2,,15:07:10.618533
LeftHand,ThrowFire_V2,,15:07:10.618604
LeftHand,ThrowGust_V2,,15:07:10.618617
RightHand,Aim_V1,,15:07:13.835693
RightHand,Lightning_V1,,15:07:14.999581
RightHand,,ShootLightning_V1,15:07:15.099125
RightHand,Lightning_V1,,15:07:15.890301
RightHand,Aim_V1,,15:07:16.928057
RightHand,Lightning_V1,,15:07:18.261319
RightHand,,ShootLightning_V1,15:07:18.382923
RightHand,Aim_V1,,15:07:18.795657
LeftHand,ThrowEarthPrison_V2,,15:07:18.901791
LeftHand,ThrowFire_V2,,15:07:18.901861
LeftHand,ThrowGust_V2,,15:07:18.901872
RightHand,Aim_V1,,15:07:21.364892
RightHand,Lightning_V1,,15:07:22.623387
RightHand,,ShootLightning_V1,15:07:22.645974
RightHand,Lightning_V1,,15:07:23.659319
RightHand,ActivateFire_V2,,15:07:25.145830
RightHand,ActivateFire_V2,,15:07:26.057287
LeftHand,ThrowEarthPrison_V2,,15:07:26.290705
LeftHand,ThrowFire_V2,,15:07:26.290770
LeftHand,ThrowGust_V2,,15:07:26.290790
RightHand,Aim_V1,,15:07:33.999832
RightHand,Lightning_V1,,15:07:33.999890
RightHand,,ShootLightning_V1,15:07:34.118729
RightHand,,ShootLightning_V1,15:07:34.263007
RightHand,,ShootLightning_V1,15:07:34.407894
RightHand,,ShootLightning_V1,15:07:34.586032
RightHand,,ShootLightning_V1,15:07:34.747663
RightHand,,ShootLightning_V1,15:07:34.920381
RightHand,Lightning_V1,,15:07:35.631499
RightHand,Aim_V1,,15:07:37.069611
RightHand,Lightning_V1,,15:07:38.023975
RightHand,,ShootLightning_V1,15:07:38.130711
RightHand,Lightning_V1,,15:07:38.864371
RightHand,Aim_V1,,15:07:39.316248
RightHand,Lightning_V1,,15:07:40.934068
RightHand,,ShootLightning_V1,15:07:40.956738
RightHand,Aim_V1,,15:07:41.541973
