CallerHand,GestureInput,ActionExecuted,Time
RightHand,Aim_V1,,12:42:48.703757
LeftHand,Aim_V1,,12:42:49.853813
RightHand,Aim_V1,,12:42:53.874626
LeftHand,Lightning_V1,,12:43:01.630697
LeftHand,,ShootLightning_V1,12:43:01.643476
LeftHand,Lightning_V1,,12:43:02.166057
LeftHand,Aim_V1,,12:43:03.509269
LeftHand,Lightning_V1,,12:43:07.266951
LeftHand,,ShootLightning_V1,12:43:07.299557
LeftHand,Lightning_V1,,12:43:07.561866
RightHand,Lightning_V1,,12:43:07.828832
RightHand,,ShootLightning_V1,12:43:07.863004
RightHand,Aim_V1,,12:43:07.995085
RightHand,Lightning_V1,,12:43:08.496914
RightHand,,ShootLightning_V1,12:43:08.633230
RightHand,Aim_V1,,12:43:11.104642
LeftHand,Aim_V1,,12:43:11.210921
LeftHand,Lightning_V1,,12:43:11.956501
LeftHand,,ShootLightning_V1,12:43:11.971739
RightHand,Lightning_V1,,12:43:16.280816
RightHand,,ShootLightning_V1,12:43:16.391036
RightHand,Aim_V1,,12:43:19.062063
RightHand,Lightning_V1,,12:43:20.572607
RightHand,,ShootLightning_V1,12:43:20.606302
RightHand,Aim_V1,,12:43:23.038324
RightHand,Lightning_V1,,12:43:25.528384
RightHand,,ShootLightning_V1,12:43:25.543463
RightHand,Lightning_V1,,12:43:25.875268
RightHand,Aim_V1,,12:43:26.212382
RightHand,Lightning_V1,,12:43:26.329664
RightHand,,ShootLightning_V1,12:43:26.352817
RightHand,Aim_V1,,12:43:27.919995
RightHand,Lightning_V1,,12:43:28.562106
RightHand,,ShootLightning_V1,12:43:28.575623
RightHand,Aim_V1,,12:43:29.279032
RightHand,Lightning_V1,,12:43:29.565077
RightHand,,ShootLightning_V1,12:43:29.577124
RightHand,Aim_V1,,12:43:31.317211
RightHand,Lightning_V1,,12:43:32.173146
RightHand,,ShootLightning_V1,12:43:32.187281
RightHand,Aim_V1,,12:43:35.865989
RightHand,Lightning_V1,,12:43:37.322858
RightHand,,ShootLightning_V1,12:43:37.346111
RightHand,Aim_V1,,12:43:37.799667
RightHand,Lightning_V1,,12:43:38.254094
RightHand,,ShootLightning_V1,12:43:38.288444
LeftHand,ThrowEarthPrison_V2,,12:43:39.379112
LeftHand,ThrowFire_V2,,12:43:39.379193
LeftHand,ThrowGust_V2,,12:43:39.379208
RightHand,Aim_V1,,12:43:39.702901
RightHand,Lightning_V1,,12:43:41.175754
RightHand,,ShootLightning_V1,12:43:41.190534
RightHand,Lightning_V1,,12:43:41.420208
RightHand,,ShootLightning_V1,12:43:41.442747
RightHand,Lightning_V1,,12:43:41.858810
RightHand,,ShootLightning_V1,12:43:41.875826
LeftHand,Aim_V1,,12:43:46.318516
LeftHand,Aim_V1,,12:43:52.662633
LeftHand,Lightning_V1,,12:43:53.577390
